model,threshold,P_true_pos,P_false_neg,P_false_pos_on_noise,P_precision,P_recall,P_F1,P_mae_seconds,P_median_residual_s,P_iqr_residual_s,S_true_pos,S_false_neg,S_false_pos_on_noise,S_precision,S_recall,S_F1,S_mae_seconds,S_median_residual_s,S_iqr_residual_s,phase_id_accuracy,n_phase_pairs,n_phase_confusions,noise_n_traces,noise_traces_with_any_pick,noise_trace_fp_rate,P_unmatched_on_event_trace_diagnostic,S_unmatched_on_event_trace_diagnostic,n_event_traces
EQT-RoSE,0.05,23734,5162,3847,0.8605,0.8214,0.8405,0.10017800779472488,-0.0286,0.10403799999999999,23527,7260,12101,0.6604,0.7642,0.7085,0.12700989543928254,0.000999,0.1705,0.9939073238605219,47434,289,23526,9347,0.3973,14426,20530,32374
EQT-RoSE,0.1,23166,5730,1936,0.9229,0.8017,0.8580,0.09849770832254166,-0.0286,0.100884,22927,7860,5164,0.8162,0.7447,0.7788,0.1251676265102281,0.001,0.1695,0.9960197283031929,46228,184,23526,5494,0.2335,9173,13044,32374
EQT-RoSE,0.2,21732,7164,873,0.9614,0.7521,0.8439,0.09295992573163998,-0.029,0.098963,20317,10470,2199,0.9023,0.6599,0.7623,0.11503750046758873,0.0014,0.155038,0.9979109296363119,42124,88,23526,2645,0.1124,5048,6563,32374
EQT-RoSE,0.3,19882,9014,450,0.9779,0.6881,0.8078,0.0852268024846595,-0.029,0.0895,17412,13375,1063,0.9425,0.5656,0.7069,0.1049381225591546,0.0023935,0.140462,0.9986608816755048,37338,50,23526,1361,0.0579,3058,3902,32374
EQT-RoSE,0.5,16066,12830,124,0.9923,0.5560,0.7127,0.07278067222706337,-0.0296,0.08,9786,21001,166,0.9833,0.3179,0.4804,0.08014405681585939,0.0047685,0.10450000000000001,0.9994201105655854,25867,15,23526,268,0.0114,1347,1366,32374
EQT-RoSE,0.7,10534,18362,28,0.9973,0.3645,0.5339,0.061280089329789254,-0.035,0.063607,2433,28354,12,0.9951,0.0790,0.1464,0.04985754500616523,0.01,0.063,0.9996916197671729,12971,4,23526,36,0.0015,539,270,32374
PhaseNet-RoSE,0.05,23795,5101,11998,0.6648,0.8235,0.7357,0.08352827749527211,-0.008,0.08149999999999999,23857,6930,19663,0.5482,0.7749,0.6421,0.10731158247055371,-0.007607,0.127607,0.9777317022600042,48230,1074,23526,14719,0.6256,39076,50418,32374
PhaseNet-RoSE,0.1,22985,5911,5477,0.8076,0.7954,0.8015,0.08126250807048076,-0.008463,0.0785,23127,7660,9285,0.7135,0.7512,0.7319,0.10530198482293424,-0.008,0.12353800000000001,0.9837243213106317,46634,759,23526,9318,0.3961,20032,27639,32374
PhaseNet-RoSE,0.2,21857,7039,2353,0.9028,0.7564,0.8231,0.0777344213753031,-0.008607,0.074855,21829,8958,3898,0.8485,0.7090,0.7725,0.10194980594621833,-0.008,0.12060599999999999,0.9896806676948199,44092,455,23526,4838,0.2056,9959,14968,32374
PhaseNet-RoSE,0.3,20624,8272,1195,0.9452,0.7137,0.8133,0.07372736729053529,-0.009,0.071607,20080,10707,1972,0.9106,0.6522,0.7600,0.09711613132470119,-0.008,0.118,0.9929479514897147,40981,289,23526,2659,0.1130,6146,9407,32374
PhaseNet-RoSE,0.5,17632,11264,358,0.9801,0.6102,0.7521,0.06379849086887478,-0.008607,0.0675,14105,16682,487,0.9666,0.4581,0.6217,0.08099216079404467,-0.009462,0.0955,0.9974854628319975,31815,80,23526,768,0.0326,2774,3501,32374
PhaseNet-RoSE,0.7,12986,15910,117,0.9911,0.4494,0.6184,0.04914284052056061,-0.007,0.052,6149,24638,67,0.9892,0.1997,0.3324,0.05674462010082941,-0.0096,0.0655,0.9987993944772146,19157,23,23526,169,0.0072,1274,1096,32374
EQT-instance,0.05,21708,7188,2780,0.8865,0.7512,0.8133,0.11211682264602912,-0.034607,0.124,18473,12314,1795,0.9114,0.6000,0.7237,0.15599183229578306,-0.067,0.212463,0.987123828317711,40540,522,23526,2883,0.1225,15180,7477,32374
EQT-instance,0.1,21124,7772,1673,0.9266,0.7310,0.8173,0.11025990792463548,-0.034,0.1225,16275,14512,933,0.9458,0.5286,0.6782,0.14870899182795697,-0.063,0.200144,0.9887667240694131,37745,424,23526,1822,0.0774,10409,4825,32374
EQT-instance,0.2,20302,8594,931,0.9562,0.7026,0.8100,0.10714310205891045,-0.0336,0.11839825000000001,12629,18158,406,0.9689,0.4102,0.5764,0.13555921553567188,-0.0586,0.179609,0.990667148362235,33216,310,23526,1048,0.0445,6818,2523,32374
EQT-instance,0.3,19347,9549,584,0.9707,0.6695,0.7925,0.1029623543701866,-0.0326,0.1115,10706,20081,271,0.9753,0.3477,0.5127,0.12809227293106668,-0.05255,0.1685,0.9928939714436806,30256,215,23526,696,0.0296,4775,1836,32374
EQT-instance,0.5,17110,11786,276,0.9841,0.5921,0.7394,0.09200396703682057,-0.03,0.10200000000000001,6870,23917,108,0.9845,0.2231,0.3638,0.1055462497816594,-0.037,0.13157075000000001,0.9950612160199211,24095,119,23526,326,0.0139,2497,920,32374
EQT-instance,0.7,13649,15247,106,0.9923,0.4723,0.6400,0.07759079353798815,-0.029462,0.083538,3791,26996,29,0.9924,0.1231,0.2191,0.07916522843576893,-0.022,0.10200000000000001,0.9977114086279895,17478,40,23526,119,0.0051,1098,409,32374
PhaseNet-instance,0.05,21648,7248,4891,0.8157,0.7492,0.7810,0.10701373775868439,-0.0454615,0.1055,18113,12674,3400,0.8420,0.5883,0.6927,0.159326810357202,-0.1015,0.169892,0.9808012732834299,40211,772,23526,5513,0.2343,18310,8146,32374
PhaseNet-instance,0.1,21030,7866,2274,0.9024,0.7278,0.8057,0.10516423204945316,-0.045462,0.10446175,16080,14707,1332,0.9235,0.5223,0.6672,0.15373201710199005,-0.0995,0.165462,0.9859432930570003,37491,527,23526,2756,0.1171,11630,5209,32374
PhaseNet-instance,0.2,20225,8671,1028,0.9516,0.6999,0.8066,0.10304251960444995,-0.045,0.1025,13195,17592,439,0.9678,0.4286,0.5941,0.1449017961348996,-0.095,0.15000000000000002,0.9897995492824102,33724,344,23526,1238,0.0526,6979,2946,32374
PhaseNet-instance,0.3,19451,9445,604,0.9699,0.6731,0.7947,0.10107813824482031,-0.044607,0.1004615,10850,19937,198,0.9821,0.3524,0.5187,0.13594873188940093,-0.089,0.13960550000000002,0.9919447264154032,30539,246,23526,701,0.0298,4841,1920,32374
PhaseNet-instance,0.5,17595,11301,215,0.9879,0.6089,0.7534,0.09548368229610685,-0.042463,0.092804,6539,24248,56,0.9915,0.2124,0.3498,0.11350921027680073,-0.070463,0.111,0.9959966983078828,24230,97,23526,244,0.0104,2521,891,32374
PhaseNet-instance,0.7,14214,14682,77,0.9946,0.4919,0.6583,0.08223228000562825,-0.039,0.08049999999999999,3164,27623,8,0.9975,0.1028,0.1863,0.08550658786346398,-0.054,0.0805,0.9978753947746196,17415,37,23526,80,0.0034,1203,367,32374
EQT-ethz,0.05,19899,8997,9503,0.6768,0.6886,0.6827,0.11452855208804463,-0.028,0.15,18283,12504,7374,0.7126,0.5939,0.6478,0.1474583725318602,-0.026462,0.22100000000000003,0.9748416336200237,38834,977,23526,9717,0.4130,24691,16049,32374
EQT-ethz,0.1,19231,9665,6228,0.7554,0.6655,0.7076,0.11113178779054653,-0.027,0.14823150000000002,16378,14409,4550,0.7826,0.5320,0.6334,0.14115532470387107,-0.0255,0.20985375,0.9793093922651934,36200,749,23526,7246,0.3080,16711,10493,32374
EQT-ethz,0.2,18365,10531,4025,0.8202,0.6356,0.7162,0.10694710748706779,-0.026,0.136538,13774,17013,2526,0.8450,0.4474,0.5850,0.1327430218527661,-0.0224815,0.193,0.9836929867582148,32624,532,23526,5093,0.2165,11181,6378,32374
EQT-ethz,0.3,17512,11384,2852,0.8599,0.6060,0.7110,0.10276842570808589,-0.0255,0.133,11733,19054,1620,0.8787,0.3811,0.5316,0.1255866862694963,-0.019607,0.18400100000000003,0.9861650075923739,29635,410,23526,3759,0.1598,8217,4535,32374
EQT-ethz,0.5,15735,13161,1476,0.9142,0.5445,0.6825,0.09445062351445822,-0.022607,0.121,8355,22432,586,0.9345,0.2714,0.4206,0.11112486307600239,-0.016,0.1614815,0.9917236267808615,24286,201,23526,1879,0.0799,4616,2362,32374
EQT-ethz,0.7,13142,15754,583,0.9575,0.4548,0.6167,0.08477543935474054,-0.02,0.10800075,4345,26442,88,0.9801,0.1411,0.2467,0.08888353785960876,0.0,0.1286,0.9955026756233634,17566,79,23526,640,0.0272,2150,962,32374
PhaseNet-ethz,0.05,18613,10283,6338,0.7460,0.6441,0.6913,0.08818720759684091,-0.007607,0.091002,17862,12925,8585,0.6754,0.5802,0.6242,0.1377438122270742,-0.0485,0.180075,0.9612725865428243,37467,1451,23526,7510,0.3192,15469,21622,32374
PhaseNet-ethz,0.1,17868,11028,3348,0.8422,0.6184,0.7131,0.0852032977389747,-0.007606,0.088,15227,15560,4122,0.7870,0.4946,0.6074,0.12829223458330596,-0.0445,0.1655,0.9716420996662039,33853,960,23526,4435,0.1885,9455,11676,32374
PhaseNet-ethz,0.2,16918,11978,1854,0.9012,0.5855,0.7098,0.08160319553138669,-0.0076,0.0865,11554,19233,1566,0.8806,0.3753,0.5263,0.11258731668686169,-0.036,0.14030199999999998,0.9815179465920475,28947,535,23526,2229,0.0947,5635,5423,32374
PhaseNet-ethz,0.3,16226,12670,1226,0.9298,0.5615,0.7002,0.07938387840502896,-0.0075,0.085462,9005,21782,753,0.9228,0.2925,0.4442,0.09955002065519156,-0.0295,0.122538,0.986006332330063,25583,358,23526,1371,0.0583,4076,3145,32374
PhaseNet-ethz,0.5,14730,14166,546,0.9643,0.5098,0.6669,0.07441211473183977,-0.007,0.0825,5654,25133,168,0.9711,0.1836,0.3089,0.08114283940573046,-0.02,0.09989475,0.9925017041581459,20538,154,23526,568,0.0241,2340,1361,32374
PhaseNet-ethz,0.7,12184,16712,179,0.9855,0.4217,0.5906,0.06514854604399212,-0.006,0.07639325,3167,27620,45,0.9860,0.1029,0.1863,0.06703200536785602,-0.012,0.082125,0.9964299623523303,15406,55,23526,202,0.0086,1268,561,32374
EQT-stead,0.05,18026,10870,6659,0.7302,0.6238,0.6729,0.09375045423277488,-0.027,0.10143975,18593,12194,869,0.9553,0.6039,0.7400,0.1291606216855806,-0.039,0.168035,0.9952911075423937,36739,173,23526,6984,0.2969,10740,7801,32374
EQT-stead,0.1,17276,11620,238,0.9864,0.5979,0.7445,0.09122074635332253,-0.026462,0.09765325000000001,17778,13009,578,0.9685,0.5775,0.7235,0.12776795725053436,-0.0386,0.165462,0.996954950340078,35139,107,23526,601,0.0255,7068,6284,32374
EQT-stead,0.2,16053,12843,152,0.9906,0.5555,0.7119,0.08731246919578896,-0.028,0.09050000000000001,16879,13908,351,0.9796,0.5483,0.7030,0.12571219112506662,-0.0386,0.1605,0.9981504502592402,32981,61,23526,380,0.0162,4632,5092,32374
EQT-stead,0.3,15088,13808,124,0.9918,0.5221,0.6841,0.08353698787115589,-0.029,0.087607,16179,14608,266,0.9838,0.5255,0.6851,0.1241424815501576,-0.0385,0.155372,0.9986263297447528,31303,43,23526,296,0.0126,3288,4423,32374
EQT-stead,0.5,13188,15708,79,0.9940,0.4564,0.6256,0.07499562898089172,-0.029461,0.07986125,13854,16933,137,0.9902,0.4500,0.6188,0.11500882452721234,-0.037,0.146575,0.9992238894227216,27058,21,23526,168,0.0071,1861,2898,32374
EQT-stead,0.7,10117,18779,44,0.9957,0.3501,0.5181,0.06266111495502619,-0.029,0.063107,8875,21912,41,0.9954,0.2883,0.4471,0.09206978625352114,-0.027464,0.1145,0.9993684875276286,19002,12,23526,64,0.0027,1094,1401,32374
PhaseNet-stead,0.05,13993,14903,393,0.9727,0.4843,0.6466,0.09254904116343886,-0.039461,0.093,21218,9569,1723,0.9249,0.6892,0.7898,0.12678131666509565,-0.0495,0.1469925,0.9300521599572021,37385,2615,23526,1661,0.0706,5555,20143,32374
PhaseNet-stead,0.1,13006,15890,250,0.9811,0.4501,0.6171,0.08753754797785636,-0.0385,0.08539274999999999,20702,10085,1140,0.9478,0.6724,0.7867,0.12539790918751811,-0.049464,0.145465,0.9362082948793243,35757,2281,23526,1147,0.0488,3880,15778,32374
PhaseNet-stead,0.2,11778,17118,153,0.9872,0.4076,0.5770,0.08136279113601631,-0.037,0.08046199999999999,19942,10845,644,0.9687,0.6477,0.7764,0.12340317836726507,-0.049462,0.144,0.9460178843795795,33437,1805,23526,677,0.0288,2518,11896,32374
PhaseNet-stead,0.3,10941,17955,105,0.9905,0.3786,0.5478,0.07738788648204005,-0.035607,0.073538,19185,11602,432,0.9780,0.6232,0.7612,0.12165351034662499,-0.049,0.141464,0.9547400805607535,31529,1427,23526,471,0.0200,1824,9530,32374
PhaseNet-stead,0.5,9294,19602,37,0.9960,0.3216,0.4863,0.07072426070583172,-0.03,0.0625,16516,14271,186,0.9889,0.5365,0.6956,0.11529386286025671,-0.047607,0.129607,0.9688778766377595,26637,829,23526,205,0.0087,839,5578,32374
PhaseNet-stead,0.7,7433,21463,17,0.9977,0.2572,0.4090,0.05993511166420019,-0.028,0.052609,11180,19607,62,0.9945,0.3631,0.5320,0.096889364490161,-0.0395,0.112,0.9835129993658845,18924,312,23526,72,0.0031,482,2488,32374
RED-PAN-60s,0.05,22516,6380,6740,0.7696,0.7792,0.7744,0.07612410250488542,0.006,0.07339325,22492,8295,2665,0.8941,0.7306,0.8041,0.090165285390361,0.0025180000000000003,0.101962,0.9867346488323843,45306,601,23526,6099,0.2592,30244,17934,32374
RED-PAN-60s,0.1,22120,6776,3593,0.8603,0.7655,0.8101,0.07472094493670886,0.006,0.07259925,21822,8965,1345,0.9419,0.7088,0.8089,0.08826287155164514,0.0024,0.1,0.9923646826925255,44137,337,23526,3692,0.1569,19231,12578,32374
RED-PAN-60s,0.2,21416,7480,1137,0.9496,0.7411,0.8325,0.07286556751961151,0.006393,0.070538,20883,9904,594,0.9723,0.6783,0.7991,0.08642395948857923,0.0025,0.099038,0.9963455462818881,42414,155,23526,1323,0.0562,11322,8509,32374
RED-PAN-60s,0.3,20540,8356,551,0.9739,0.7108,0.8218,0.07071737585199611,0.006538,0.069,20017,10770,372,0.9818,0.6502,0.7823,0.08486340785332466,0.0025,0.098394,0.9978835978835979,40635,86,23526,713,0.0303,8017,6744,32374
RED-PAN-60s,0.5,17804,11092,214,0.9881,0.6161,0.7590,0.06428133599191194,0.008,0.06439325,17088,13699,176,0.9898,0.5550,0.7112,0.08172814314138578,0.003,0.09826025,0.998912109934154,34930,38,23526,308,0.0131,3798,4416,32374
RED-PAN-60s,0.7,13386,15510,76,0.9944,0.4632,0.6320,0.05691776535186015,0.01,0.0565,12215,18572,68,0.9945,0.3968,0.5672,0.07618500957838722,0.003,0.0950005,0.9993754147636336,25617,16,23526,105,0.0045,1889,2510,32374
